ID,Product,Category,Subcategory,Price,Date
342916,Film Adherente Home Care 20 Mts X 28 Cm,cocina,,1369,2024-04-15
342912,Foil De Aluminio Home Care 7.5mts X 28 Cm,cocina,,2555,2024-04-15
279694,Bolsas Herméticas Ziploc Para Conservar Medianas 24un,cocina,,5025,2024-04-15
29566,Film Autoadherente De Pvc 28cm X 300mts Rolopac,cocina,,10905,2024-04-15
393373,"Escurridor Krea 2 Pisos Con Bandeja 51 X 24,5 X 37 Cm Krea",cocina,,46046,2024-04-15
279687,Bolsas Herméticas Ziploc Para Conservar Grande 19un,cocina,,4399,2024-04-15
279685,Bolsas Herméticas Ziploc Para Conservar Grande 10un,cocina,,2989,2024-04-15
345381,Repasador De Toalla Krea 40x60 Cm X 1 U,cocina,,3359,2024-04-15
245055,Filtro De Café Domestic Envase Economico 30 U,cocina,,3175,2024-04-15
409536,Juego Ollas Tramontinax1,cocina,,199465,2024-04-15
32691,Papel Manteca 28cm X 5mt Rolopac,cocina,,4605,2024-04-15
48848,100 Separadores Jumbo 19x25 Cm,cocina,,2089,2024-04-15
388437,Jarro Hervidor Aston X1,cocina,,14790,2024-04-15
279684,Bolsas Herméticas Ziploc Para Conservar Medianas 12un,cocina,,2955,2024-04-15
248603,Film Autoadherente De Pvc,cocina,,3435,2024-04-15
332730,Sarten Domo.,cocina,,15990,2024-04-15
384556,Repasador Guinda Premium X 1 U,cocina,,1099,2024-04-15
279693,Bolsas Herméticas Ziploc Para Organizar Medianas 20un,cocina,,6705,2024-04-15
409291,Olla 20 Cm. Ceramica Simil Madera,cocina,,31990,2024-04-15
409534,Sarten  C/mango 24 Tramontinax1,cocina,,26089,2024-04-15
90282,Agua Desmineralizada,automotor,,3571,2024-04-15
414123,"Plumero Microfibra Mango Extensible, Colores V",automotor,,8372,2024-04-15
414124,Set X5 Paño Limpieza Microfibra 30x30cm Iael,automotor,,8466,2024-04-15
25847,Crique Hidráulico Carrito De 2 Tn Reforzado Con Maletin,automotor,,74999,2024-04-15
8344,Lubricante Wd-40 155 Gr,automotor,,6107,2024-04-15
414122,Manopla Limpieza Microfibra Iael,automotor,,3364,2024-04-15
6767,Cable De Batería,automotor,,5999,2024-04-15
20343,Limpia Tapizados Silisur,automotor,,8781,2024-04-15
317916,Parasol Iael Lateral Cars 44x38cm,automotor,,5104,2024-04-15
161329,Limpia Tapizado X 1 U,automotor,,11545,2024-04-15
8365,Lubricante Wd-40 311 Gr,automotor,,9377,2024-04-15
21328,Set De Paños De Microfibra,automotor,,4499,2024-04-15
11235,Franela Poli Auto,automotor,,1599,2024-04-15
386870,Kit De Seguridad Iael,automotor,,29987,2024-04-15
408358,Lubricante Multiuso Wd-40,automotor,,9018,2024-04-15
414119,Paño De Limpieza Goodyear Sintetico Chamois 43,automotor,,6474,2024-04-15
336870,Organizador Asiento Iael 29.5x51.5 Cars,automotor,,13522,2024-04-15
23516,Infla Y Sella Neumáticos Silsur 300 Gr,automotor,,15056,2024-04-15
24343,Kit De Lavado Cepillo + Franela + Rejilla,automotor,,6778,2024-04-15
90281,Agua Demineralizada   Pet 100 Cc.,automotor,,1437,2024-04-15
350190,Almohada Suavestar Viscoelastica Clasica 62x40,decoracion,,37990,2024-04-15
139229,Almohada Suavestar Viscoelastica Cervical 57x3,decoracion,,30990,2024-04-15
354438,Vela Votiva Aroma Coral Oi23 Krea41320103001,decoracion,,727,2024-04-15
287526,Portaretrato Box Madera 20x25cm,decoracion,,4427,2024-04-15
295539,Difusor De Ambiente Organic Spa Coco & Vainilla Pp 120 Ml,decoracion,,5405,2024-04-15
345484,Canasto Mimbre Xl Q1 Camel Krea,decoracion,,13655,2024-04-15
345535,"Reloj Colores 3c 20x4,4cm",decoracion,,6797,2024-04-15
351403,Repuesto Difusor  Vainilla 350 Ml,decoracion,,10025,2024-04-15
356014,Almohada Fibra 70x40 - Suavestar,decoracion,,21990,2024-04-15
402237,Pack X 2 Fundas De Almohada King 95 X 50 - S/m,decoracion,,8990,2024-04-15
393822,Almohadon De Silla 45x45 X 1 U,decoracion,,5999,2024-04-15
351405,Repuesto Difusor  Maracuya 350 Ml,decoracion,,10025,2024-04-15
246673,Set 2 Fundas Almohada 144h 50x90 Surt2c. Krea,decoracion,,12305,2024-04-15
287188,Follaje Eucaliptos Largo 83cm Krea,decoracion,,3555,2024-04-15
345536,"Reloj Manos Plata 20x4,4cm",decoracion,,8035,2024-04-15
356030,Almohada Microesferas 70x50 - Suavestar5113010,decoracion,,34990,2024-04-15
314198,Vela Pilar 9cm Taupe,decoracion,,4669,2024-04-15
345676,Violetero 20x5 Cm,decoracion,,4479,2024-04-15
320185,Flor De Tallo Mediano D36,decoracion,,805,2024-04-15
345485,Canasto Mimbre L Q1 Camel Krea,decoracion,,12235,2024-04-15
253770,Toall½n Gris Franco Valente,baño,,7499,2024-04-15
253519,Toalla Gris Franco Valente,baño,,1799,2024-04-15
139315,Basurero Plastico Bamboo Blanco - Krea,baño,,14990,2024-04-15
253771,Toall½n Blanco Franco Valente,baño,,7499,2024-04-15
253772,Toall½n Crudo Franco Valente,baño,,7499,2024-04-15
253516,Toalla Visita Franco Valente Blanca,baño,,1799,2024-04-15
253517,Toalla Visita Franco Valente Crudo,baño,,1799,2024-04-15
11174,Toallón Blanco Franco Valente,baño,,11190,2024-04-15
355287,Dispensador Plastico Bambo Az Krea,baño,,2059,2024-04-15
404213,Cortina Estampado Poliester 100%,baño,,10990,2024-04-15
345463,Toalla Baño 70x140cm 450gsm Azul,baño,,9990,2024-04-15
121564,Cortina Krea 100 Micrones Con Protector - Krea X 1 U,baño,,7199,2024-04-15
253438,Toalla Para El Rostro Crudo 90 X 45 Cm,baño,,4649,2024-04-15
345431,Dispensador Plastico Transparente Liso,baño,,1815,2024-04-15
345384,Basurero De Plastico Bamboo Blanco,baño,,14990,2024-04-15
183077,Cortina Baño Doble Ganchos Krea,baño,,10799,2024-04-15
183633,Alfombra Antideslizante,baño,,16990,2024-04-15
345415,Toalla Mano 50x70cm 400gsm Gris,baño,,4490,2024-04-15
355231,Canasto De Baño Organizador Surtido Krea X 1 Un,baño,,4990,2024-04-15
345412,Toalla Mano 50x70cm 400gsm Blanco-s/m,baño,,4490,2024-04-15
403030,Plato Playo Granito 26cm S/mx1,mesa,,6999,2024-04-15
344767,Botella Acero Cono 600 Ml. Krea,mesa,,8999,2024-04-15
308440,Plato Playo Cuadrado Negro - Ceramica 25 Cm,mesa,,7249,2024-04-15
314017,"Plato Sopa Redondo 21,5 Cm Opal Blanco Krea",mesa,,2065,2024-04-15
397829,Botella Termica Keep Acero Inoxidable 600ml X 1 U,mesa,,34819,2024-04-15
263568,Plato Playo 27.3 Cm Ceramica Rosado,mesa,,7979,2024-04-15
3388,Vaso Burbujas T/l 400 Cc,mesa,,1569,2024-04-15
396634,Plato Bamboo Suka 25x25cm X1,mesa,,5699,2024-04-15
308457,Plato Playo 27.3 Cm Ceramica Azul- Krea,mesa,,8727,2024-04-15
406946,Botella Sodastream Metal Fuse 1l,mesa,,9439,2024-04-15
24200,Vaso Oslo 400 Cc,mesa,,1599,2024-04-15
350355,Vaso Vidrio  Borgoña 500ml  Deli Volf,mesa,,7199,2024-04-15
22509,Plato Playo De Vidrio Galaxia Rigolleau - 24 Cm,mesa,,1929,2024-04-15
