ID,Product,Category,Subcategory,Price,Date
6096,Sandwich De Jamón Y Queso X 12 U,panadería,pizzas_y_prepizzas,10999,2024-04-15
23409,Pre-pizza De Tomate 1u,panadería,pizzas_y_prepizzas,999,2024-04-15
314617,Pizza Muzarella E,panadería,pizzas_y_prepizzas,4999,2024-04-15
23383,Pizzetas De Tomate 6 U,panadería,pizzas_y_prepizzas,1069,2024-04-15
6095,Sandwich Surtidos X 12 U,panadería,pizzas_y_prepizzas,11499,2024-04-15
36415,Prepizza Con Salvado 1 U,panadería,pizzas_y_prepizzas,999,2024-04-15
22916,Sandwich De Jamón Y Queso Pan Negro 6 U,panadería,sándwiches,4999,2024-04-15
393177,Triples Jamon Y Queso X3 (triangular),panadería,sándwiches,3299,2024-04-15
262870,Pan Multigrano X 1 U,panadería,panificados,2699,2024-04-15
262837,Media Baguette Rustica (m),panadería,panificados,499,2024-04-15
270101,Baguette Rústica 1u,panadería,panificados,1999,2024-04-15
274470,Pan Kaiser (m) 1 Un,panadería,panificados,349,2024-04-15
272299,Pan Pannini,panadería,panificados,859,2024-04-15
392537,Pan Multicereal Chico 390 Gr,panadería,panificados,2699,2024-04-15
392602,Grisines Panadería Clásicos 100 Gr,panadería,panificados,1153,2024-04-15
391834,Pan Lactal Artesanal 530 Gr,panadería,panificados,3699,2024-04-15
274054,Pan Altamura,panadería,panificados,1899,2024-04-15
272302,Pan Lomitero (m),panadería,panificados,869,2024-04-15
270100,Pan De Campo Con Centeno Y Semillas X U,panadería,panificados,890,2024-04-15
392539,Pan Molde Blanco,panadería,panificados,2399,2024-04-15
262838,Media Baguette Multicereal 1 U,panadería,panificados,707,2024-04-15
392604,Grisines Panadería Semillas 100 Gr,panadería,panificados,1153,2024-04-15
274569,Mini-bizcochos Oliva & Parmesano,panadería,panificados,2299,2024-04-15
392603,Grisines Panadería Pizza 100 Gr,panadería,panificados,1153,2024-04-15
274714,Ciabatta,panadería,panificados,1049,2024-04-15
272312,Pan Para Pancho 1 U,panadería,panificados,699,2024-04-15
272278,Baguette Artesanal Con Salvado  (cj X 25,panadería,panificados,1899,2024-04-15
274098,Scones,panadería,panificados,2999,2024-04-15
274089,Alfajorcitos De Maizena Elab.pro X 240grs,repostería,,4499,2024-04-15
274637,Donut Bañada Color Rellena Dulce De Leche,repostería,,749,2024-04-15
295844,Budin Tipo Europeo Relleno Dulce De Leche,repostería,,3899,2024-04-15
274087,Alfajorcitos De Chocolate X 250grs,repostería,,3999,2024-04-15
241588,Budines Tipo Europeo,repostería,,3699,2024-04-15
